0,1,3
01/01/2009,13:00,HURTOPERSONAS
01/01/2009,0:00,HURTOPERSONAS
02/01/2009,2:00,HURTOPERSONAS
02/01/2009,2:35,HURTOPERSONAS
02/01/2009,8:00,HURTOPERSONAS
02/01/2009,12:00,HURTOPERSONAS
02/01/2009,14:30,HURTOPERSONAS
03/01/2009,11:45,HURTOPERSONAS
03/01/2009,22:30,HURTOPERSONAS
03/01/2009,15:00,HURTOPERSONAS
04/01/2009,17:00,HURTOPERSONAS
04/01/2009,13:10,HURTOPERSONAS
04/01/2009,2:00,HURTOPERSONAS
04/01/2009,7:30,HURTOPERSONAS
04/01/2009,12:43,HURTOPERSONAS
05/01/2009,7:30,HURTOPERSONAS
05/01/2009,14:45,HURTOPERSONAS
06/01/2009,19:25,HURTOPERSONAS
06/01/2009,19:25,HURTOPERSONAS
06/01/2009,19:25,HURTOPERSONAS
06/01/2009,12:45,HURTOPERSONAS
06/01/2009,10:00,HURTOPERSONAS
06/01/2009,1:00,HURTOPERSONAS
07/01/2009,12:30,HURTOPERSONAS
07/01/2009,8:00,HURTOPERSONAS
07/01/2009,13:45,HURTOPERSONAS
07/01/2009,9:30,HURTOPERSONAS
08/01/2009,11:00,HURTOPERSONAS
08/01/2009,14:15,HURTOPERSONAS
09/01/2009,22:05,HURTOPERSONAS
09/01/2009,20:00,HURTOPERSONAS
09/01/2009,18:55,HURTOPERSONAS
10/01/2009,20:45,HURTOPERSONAS
10/01/2009,0:20,HURTOPERSONAS
10/01/2009,2:40,HURTOPERSONAS
11/01/2009,10:30,HURTOPERSONAS
11/01/2009,17:30,HURTOPERSONAS
11/01/2009,18:30,HURTOPERSONAS
13/01/2009,14:40,HURTOPERSONAS
13/01/2009,21:15,HURTOPERSONAS
13/01/2009,13:55,HURTOPERSONAS
13/01/2009,21:00,HURTOPERSONAS
14/01/2009,19:10,HURTOPERSONAS
14/01/2009,15:30,HURTOPERSONAS
15/01/2009,0:00,HURTOPERSONAS
15/01/2009,14:47,HURTOPERSONAS
15/01/2009,16:15,HURTOPERSONAS
15/01/2009,8:00,HURTOPERSONAS
15/01/2009,16:15,HURTOPERSONAS
15/01/2009,16:32,HURTOPERSONAS
16/01/2009,13:20,HURTOPERSONAS
16/01/2009,12:20,HURTOPERSONAS
16/01/2009,11:00,HURTOPERSONAS
16/01/2009,6:10,HURTOPERSONAS
16/01/2009,12:00,HURTOPERSONAS
16/01/2009,21:00,HURTOPERSONAS
17/01/2009,16:40,HURTOPERSONAS
17/01/2009,10:20,HURTOPERSONAS
17/01/2009,11:40,HURTOPERSONAS
18/01/2009,14:30,HURTOPERSONAS
18/01/2009,16:30,HURTOPERSONAS
19/01/2009,4:33,HURTOPERSONAS
19/01/2009,21:00,HURTOPERSONAS
19/01/2009,17:00,HURTOPERSONAS
20/01/2009,21:50,HURTOPERSONAS
20/01/2009,7:35,HURTOPERSONAS
